VARIABLE NAME,label,keep
PCIP01,"Agriculture, Agriculture Operations, and Related Sciences",1
PCIP03,Natural Resources and Conservation,1
PCIP11,Computer and Information Sciences and Support Services,1
PCIP13,Education,1
PCIP14,Engineering,1
PCIP22,Legal Professions and Studies,1
PCIP23,English Language and Literature/Letters,1
PCIP26,Biological and Biomedical Sciences,1
PCIP27,Mathematics and Statistics,1
PCIP39,Theology and Religious Vocations,1
PCIP52,"Business, Management, Marketing, and Related Support Services",1
PCIP54,History,1
